circle,braid_x,braid_y,angle,heading
0,0.187,-0.085,-0.42662749312687615,-0.42662749312687615
58,0.2,0.032,0.1586552621864014,0.1586552621864014
116,0.163,0.133,0.6843917190622227,0.6843917190622227
174,0.067,0.2,1.2475465231467544,1.2475465231467544
232,-0.061,0.2,1.8668339412697996,1.8668339412697996
290,-0.15,0.14,2.390663591191853,2.390663591191853
346,-0.2,0.034,2.973202496442263,2.973202496442263
406,-0.184,-0.081,-2.7269036628168912,-2.7269036628168912
464,-0.112,-0.164,-2.1699716497812034,-2.1699716497812034
522,0.002,-0.198,-1.5606956602095747,-1.5606956602095747
580,0.105,-0.1711,-1.020381431089474,-1.020381431089474
640,0.185,-0.089,-0.4483982464929153,-0.4483982464929153
